"Parcel ID","Year Built","Building Area","CITYAREA","TOWNSHIPCODE","CITYTWNAREA","Occupancy","Lot Area (sf)","Sale Date","Sale Price","Recording","Assessed Value","Address","Multi Parcel Sale","Vacant","Appr_Total"
"1419300004","1910","1500","EARLHAM","19","ADAMS TWP","Church","43560","","","","133880","18058 BEAR CREEK RD, EARLHAM","","Y","133880"
"1424300010","1989","3132","VAN METER","19","ADAMS TWP","Church","664725.6","","","","672740","23213 347TH ST, VAN METER","","Y","672740"
"1519301008","1922","8612","DESOTO","6","DE SOTO","School - Class Room","435600","6/23/1993 12:00:00 AM","0","748-176","5386430","305 SPRUCE ST, DESOTO","","Y","5386430"
"1233112001","2023","14558","WAUKEE","16","WAUKEE","Shopping Center - Neighborhood","91416","","","","624600","750 W HICKMAN RD, WAUKEE","","N","2169540"
"1530133001","1995","2800","","6","DE SOTO","Warehouse (Storage)","27000","","","","133720"," ","","Y","133720"
"1521476008","1989","2562","VAN METER","15","VAN METER","Apartment","14454","3/28/1989 12:00:00 AM","18500","670-393","450900","600 PLEASANT ST, VAN METER","","Y","450900"
"1521483004","1900","2067","VAN METER","15","VAN METER","Church","17424","6/29/1978 12:00:00 AM","0","551-510","250870","309 MAIN ST, VAN METER","","Y","250870"
"1521485003","1920","1560","VAN METER","15","VAN METER","Warehouse (Storage)","3432","11/29/2004 12:00:00 AM","3000","2006-17884","74400","412 GRANT ST, VAN METER","","N","74400"
"1521485003","1920","1560","VAN METER","15","VAN METER","Warehouse (Storage)","3432","12/8/2006 12:00:00 AM","21500","2007-48","74400","412 GRANT ST, VAN METER","","N","74400"
"1521485003","1920","1560","VAN METER","15","VAN METER","Warehouse (Storage)","3432","5/4/2015 12:00:00 AM","0","2015-6634","74400","412 GRANT ST, VAN METER","","N","74400"
"1521485003","1920","1560","VAN METER","15","VAN METER","Warehouse (Storage)","3432","5/21/2015 12:00:00 AM","58000","2015-8320","74400","412 GRANT ST, VAN METER","","N","74400"
"1530134010","1959","5000","","6","DE SOTO","Metal Warehouse - Rigid Steel Frame","36400","3/29/1985 12:00:00 AM","0","617-762","152540"," ","","Y","157150"
"1530134010","1959","5000","","6","DE SOTO","Metal Warehouse - Rigid Steel Frame","36400","6/27/1984 12:00:00 AM","0","612-526","152540"," ","","Y","157150"
"1227402002","2008","4265","WAUKEE","16","WAUKEE","Bank - Branch","59242","1/28/2016 12:00:00 AM","4512165","2016-1617","2491780","955 E HICKMAN RD, WAUKEE","","N","2491780"
"1227402002","2008","4265","WAUKEE","16","WAUKEE","Bank - Branch","59242","5/25/2017 12:00:00 AM","4781749","2017-9990","2491780","955 E HICKMAN RD, WAUKEE","","N","2491780"
"1132353003","2013","2860","ADEL","1","ADEL","Recreational Facility","326700","6/29/2011 12:00:00 AM","0","2011-8248","1775130","1800 S 15TH ST, ADEL","","Y","1775130"
"1132353003","2013","2860","ADEL","1","ADEL","Recreational Facility","326700","6/29/2011 12:00:00 AM","0","2011-8247","1775130","1800 S 15TH ST, ADEL","","Y","1775130"
"1132353003","2013","2860","ADEL","1","ADEL","Recreational Facility","326700","5/21/2011 12:00:00 AM","80542","2011-8277","1775130","1800 S 15TH ST, ADEL","","Y","1775130"
"1132353003","2013","2860","ADEL","1","ADEL","Recreational Facility","326700","6/17/2011 12:00:00 AM","80542","2011-8276","1775130","1800 S 15TH ST, ADEL","","Y","1775130"
"1132353003","2013","2860","ADEL","1","ADEL","Recreational Facility","326700","5/3/2011 12:00:00 AM","0","2011-5869","1775130","1800 S 15TH ST, ADEL","","Y","1775130"
"1132353003","2013","2860","ADEL","1","ADEL","Recreational Facility","326700","5/3/2011 12:00:00 AM","0","2011-5870","1775130","1800 S 15TH ST, ADEL","","Y","1775130"
"1527106003","1965","0","","15","VAN METER","School - Class Room","326700","","","","12611700"," ","","Y","12611700"
"1528201003","1978","3250","VAN METER","15","VAN METER","Church","79200","","","","1155400","100 HAZEL ST, VAN METER","","Y","1155400"
